LETTER ANALYSIS

  Letter   Freq   Freq%   AvgFreq%   Diff
    A       1      1.3      8.2      -6.9
    B       1      1.3      1.5      -0.2
    C       3      4.0      2.8       1.2
    D       7      9.3      4.3       5.0
    E       4      5.3     12.7      -7.4
    F       1      1.3      2.2      -0.9
    G       1      1.3      2.0      -0.7
    H       0      0.0      6.1      -6.1
    I       3      4.0      7.0      -3.0
    J       4      5.3      0.2       5.1
    K       4      5.3      0.8       4.5
    L       4      5.3      4.0       1.3
    M       7      9.3      2.4       6.9
    N       0      0.0      6.7      -6.7
    O       0      0.0      7.5      -7.5
    P       2      2.7      1.9       0.8
    Q       6      8.0      0.1       7.9
    R      10     13.3      6.0       7.3
    S       7      9.3      6.3       3.0
    T       5      6.7      9.1      -2.4
    U       0      0.0      2.8      -2.8
    V       1      1.3      1.0       0.3
    W       2      2.7      2.4       0.3
    X       1      1.3      0.2       1.1
    Y       1      1.3      2.0      -0.7
    Z       0      0.0      0.1      -0.1


The most frequent letter is R at 13.3%
